Слово                          Количество        Номера предложений
      ПРИЛАГАТЕЛЬНЫЕ
богатый                            5             1,4,24,49,56
направлений                       18             1,2,3,9,10,15,20,22,32,35,42,45,48,50,51,52,55,57
выбранный                          5             2,8,10,19,54
инновационный                      5             2,8,10,19,54
направлений                       18             1,2,3,9,10,15,20,22,32,35,42,45,48,50,51,52,55,57
новая                              3             3,14,42   
организационной                    3             3,14,42   
направлений                       18             1,2,3,9,10,15,20,22,32,35,42,45,48,50,51,52,55,57
массового                          7             3,9,15,32,35,42,48
богатый                            5             1,4,24,49,56
постоянный                         8             6,13,16,22,24,25,51,57
количественный                     8             6,13,16,22,24,25,51,57
новых                              9             6,7,13,19,30,37,49,52,53
постоянное                         5             7,12,15,52,53
новых                              9             6,7,13,19,30,37,49,52,53
предложений                        2             7,37      
выбранный                          5             2,8,10,19,54
инновационный                      5             2,8,10,19,54
поставленных                       6             8,16,19,23,28,43
направлений                       18             1,2,3,9,10,15,20,22,32,35,42,45,48,50,51,52,55,57
массового                          7             3,9,15,32,35,42,48
выбранный                          5             2,8,10,19,54
инновационный                      5             2,8,10,19,54
направлений                       18             1,2,3,9,10,15,20,22,32,35,42,45,48,50,51,52,55,57
постоянное                         5             7,12,15,52,53
сбалансированных                   4             12,34,38,46
нововведений                       4             12,34,38,46
постоянный                         8             6,13,16,22,24,25,51,57
количественный                     8             6,13,16,22,24,25,51,57
новых                              9             6,7,13,19,30,37,49,52,53
решений                            4             13,14,31,44
новая                              3             3,14,42   
организационной                    3             3,14,42   
решений                            4             13,14,31,44
повседневная                       1             15        
постоянное                         5             7,12,15,52,53
направлений                       18             1,2,3,9,10,15,20,22,32,35,42,45,48,50,51,52,55,57
массового                          7             3,9,15,32,35,42,48
постоянный                         8             6,13,16,22,24,25,51,57
количественный                     8             6,13,16,22,24,25,51,57
поставленных                       6             8,16,19,23,28,43
ключевых                           3             17,29,41  
выбранный                          5             2,8,10,19,54
инновационный                      5             2,8,10,19,54
новых                              9             6,7,13,19,30,37,49,52,53
поставленных                       6             8,16,19,23,28,43
намеченного                        5             20,27,31,32,37
направлений                       18             1,2,3,9,10,15,20,22,32,35,42,45,48,50,51,52,55,57
постоянный                         8             6,13,16,22,24,25,51,57
количественный                     8             6,13,16,22,24,25,51,57
направлений                       18             1,2,3,9,10,15,20,22,32,35,42,45,48,50,51,52,55,57
поставленных                       6             8,16,19,23,28,43
богатый                            5             1,4,24,49,56
постоянный                         8             6,13,16,22,24,25,51,57
количественный                     8             6,13,16,22,24,25,51,57
постоянный                         8             6,13,16,22,24,25,51,57
количественный                     8             6,13,16,22,24,25,51,57
намеченного                        5             20,27,31,32,37
повседневной                       2             28,44     
поставленных                       6             8,16,19,23,28,43
ключевых                           3             17,29,41  
новых                              9             6,7,13,19,30,37,49,52,53
намеченного                        5             20,27,31,32,37
решений                            4             13,14,31,44
намеченного                        5             20,27,31,32,37
направлений                       18             1,2,3,9,10,15,20,22,32,35,42,45,48,50,51,52,55,57
массового                          7             3,9,15,32,35,42,48
сбалансированных                   4             12,34,38,46
нововведений                       4             12,34,38,46
направлений                       18             1,2,3,9,10,15,20,22,32,35,42,45,48,50,51,52,55,57
массового                          7             3,9,15,32,35,42,48
намеченного                        5             20,27,31,32,37
новых                              9             6,7,13,19,30,37,49,52,53
предложений                        2             7,37      
сбалансированных                   4             12,34,38,46
нововведений                       4             12,34,38,46
финансовых                         3             40,47,56  
административных                   3             40,47,56  
условий                            4             40,47,49,56
ключевых                           3             17,29,41  
новая                              3             3,14,42   
организационной                    3             3,14,42   
направлений                       18             1,2,3,9,10,15,20,22,32,35,42,45,48,50,51,52,55,57
массового                          7             3,9,15,32,35,42,48
поставленных                       6             8,16,19,23,28,43
повседневной                       2             28,44     
решений                            4             13,14,31,44
социально-ориентированный          1             45        
направлений                       18             1,2,3,9,10,15,20,22,32,35,42,45,48,50,51,52,55,57
сбалансированных                   4             12,34,38,46
нововведений                       4             12,34,38,46
финансовых                         3             40,47,56  
административных                   3             40,47,56  
условий                            4             40,47,49,56
направлений                       18             1,2,3,9,10,15,20,22,32,35,42,45,48,50,51,52,55,57
массового                          7             3,9,15,32,35,42,48
богатый                            5             1,4,24,49,56
новых                              9             6,7,13,19,30,37,49,52,53
условий                            4             40,47,49,56
направлений                       18             1,2,3,9,10,15,20,22,32,35,42,45,48,50,51,52,55,57
постоянный                         8             6,13,16,22,24,25,51,57
количественный                     8             6,13,16,22,24,25,51,57
направлений                       18             1,2,3,9,10,15,20,22,32,35,42,45,48,50,51,52,55,57
постоянное                         5             7,12,15,52,53
новых                              9             6,7,13,19,30,37,49,52,53
направлений                       18             1,2,3,9,10,15,20,22,32,35,42,45,48,50,51,52,55,57
постоянное                         5             7,12,15,52,53
новых                              9             6,7,13,19,30,37,49,52,53
выбранный                          5             2,8,10,19,54
инновационный                      5             2,8,10,19,54
направлений                       18             1,2,3,9,10,15,20,22,32,35,42,45,48,50,51,52,55,57
богатый                            5             1,4,24,49,56
финансовых                         3             40,47,56  
административных                   3             40,47,56  
условий                            4             40,47,49,56
постоянный                         8             6,13,16,22,24,25,51,57
количественный                     8             6,13,16,22,24,25,51,57
направлений                       18             1,2,3,9,10,15,20,22,32,35,42,45,48,50,51,52,55,57
