Слово                          Количество        Номера предложений
      ПРИЛАГАТЕЛЬНЫЕ
повседневная                       1             15
широкому                           1             29
дальнейшее                         1             34
различных                          1             34
социально-ориентированный          1             45
национальный                       1             45
предложений                        2             7,37
напрямую                           2             26,51
повседневной                       2             28,44
интересный                         2             33,38
новая                              3             3,14,42
организационной                    3             3,14,42
масштабного                        3             11,30,53
ключевых                           3             17,29,41
планируемого                       3             17,29,41
равным                             3             22,32,37
финансовых                         3             40,47,56
административных                   3             40,47,56
гражданского                       3             48,55,58
значительной                       4             2,39,50,55
сбалансированных                   4             12,34,38,46
нововведений                       4             12,34,38,46
экономической                      4             13,14,31,44
принимаемых                        4             13,14,31,44
решений                            4             13,14,31,44
собой                              4             33,38,43,47
условий                            4             40,47,49,56
разнообразный                      5             1,4,24,49,56
богатый                            5             1,4,24,49,56
выбранный                          5             2,8,10,19,54
инновационный                      5             2,8,10,19,54
практический                       5             6,13,18,26,27
том                                5             7,12,25,31,51
постоянное                         5             7,12,15,52,53
информационно-техническое          5             7,12,15,52,53
намеченного                        5             20,27,31,32,37
системного                         5             24,35,40,42,44
другой                             6             2,20,21,33,50,57
прогрессивного                     6             2,10,22,50,51,52
соответствующей                    6             5,6,21,26,27,39
насущным                           6             5,6,21,26,27,39
важную                             6             7,8,10,22,28,41
позиций                            6             8,16,19,23,28,43
занимаемых                         6             8,16,19,23,28,43
поставленных                       6             8,16,19,23,28,43
проблем                            6             10,34,36,38,39,58
развитая                           7             3,9,15,32,35,42,48
массового                          7             3,9,15,32,35,42,48
таким                              7             11,14,17,42,44,48,55
социально-экономическое            8             5,18,21,26,29,38,40,50
постоянный                         8             6,13,16,22,24,25,51,57
количественный                     8             6,13,16,22,24,25,51,57
новых                              9             6,7,13,19,30,37,49,52,53
образом                           10             11,14,17,22,32,37,42,44,48,55
высшего                           11             8,9,23,29,30,35,41,43,45,52,54
нашей                             13             6,7,12,13,15,16,22,24,25,51,52,53,57
направлений                       18             1,2,3,9,10,15,20,22,32,35,42,45,48,50,51,52,55,57
